,precision,recall,f1-score,support
adana-kebap,0.8441558441558441,0.8666666666666667,0.8552631578947368,75.0
apple_pie,0.6347826086956522,0.4866666666666667,0.5509433962264151,150.0
armut,0.92,0.8846153846153846,0.9019607843137256,52.0
avokado,0.9482758620689655,0.9821428571428571,0.9649122807017544,56.0
ayran,0.8955223880597015,0.8,0.8450704225352113,75.0
baklava,0.9038461538461539,0.7230769230769231,0.8034188034188035,65.0
beyaz-lahana-sarmasi,0.9722222222222222,0.6730769230769231,0.7954545454545455,52.0
biber-dolma,0.90625,0.7733333333333333,0.8345323741007193,75.0
bread_pudding,0.6484375,0.5533333333333333,0.5971223021582734,150.0
cacik,0.7878787878787878,0.7761194029850746,0.7819548872180451,67.0
canak-enginar,0.8225806451612904,0.7611940298507462,0.7906976744186047,67.0
carrot_cake,0.6269430051813472,0.8066666666666666,0.705539358600583,150.0
cay,0.8505747126436781,0.9866666666666667,0.9135802469135803,75.0
cheesecake,0.7027027027027027,0.6933333333333334,0.6979865771812082,150.0
chicken_wings,0.8192771084337349,0.9066666666666666,0.8607594936708859,150.0
chocolate_cake,0.7194244604316546,0.6666666666666666,0.6920415224913495,150.0
churros,0.821656050955414,0.86,0.8403908794788274,150.0
cig-kofte,0.8055555555555556,0.7733333333333333,0.7891156462585034,75.0
cilek,0.8412698412698413,0.7066666666666667,0.7681159420289856,75.0
cipura,0.7538461538461538,0.765625,0.7596899224806202,64.0
club_sandwich,0.7670454545454546,0.9,0.8282208588957056,150.0
coban-salatasi,0.7848101265822784,0.8266666666666667,0.8051948051948051,75.0
cup_cakes,0.7911392405063291,0.8333333333333334,0.8116883116883117,150.0
domates-corbasi,0.7011494252873564,0.8133333333333334,0.7530864197530864,75.0
doner,0.7792207792207793,0.8,0.7894736842105264,75.0
donuts,0.7349397590361446,0.8133333333333334,0.7721518987341773,150.0
elma,0.6741573033707865,0.8,0.7317073170731706,75.0
erik,0.8918918918918919,0.88,0.8859060402684563,75.0
falafel,0.8278688524590164,0.6733333333333333,0.7426470588235295,150.0
french_fries,0.7777777777777778,0.9333333333333333,0.8484848484848485,150.0
french_toast,0.6931818181818182,0.8133333333333334,0.7484662576687117,150.0
frozen_yogurt,0.7580645161290323,0.94,0.8392857142857143,150.0
greek_salad,0.8282208588957055,0.9,0.8626198083067093,150.0
grilled_salmon,0.7189542483660131,0.7333333333333333,0.7260726072607261,150.0
hamburger,0.9140625,0.78,0.841726618705036,150.0
hamsi-tava,0.9452054794520548,0.92,0.9324324324324323,75.0
